wordpair,Typicality
house:home,35.7
kid:child,35.6
raise:elevate,35.4
teach:instruct,32.3
big:large,31.5
spin:twirl,25.4
careful:cautious,24.1
couch:sofa,22.4
cute:adorable,22.4
make:manufacture,20
pants:trousers,19.3
pretty:beautiful,17.5
option:choice,17.2
run:sprint,15.8
boat:ship,13.6
car:auto,35.7
picture:drawing,48.5
sword:knife,45.3
ladder:stairs,42.9
shovel:spoon,33.3
stairs:ladder,29
hill:mountain,25.8
book:magazine,25.4
pencil:pen,22.7
wagon:trailer,21.2
paper:parchment,15.2
pillow:cushion,13.8
table:desk,13.1
fence:hedge,3.4
chair:sofa,3.1
house:tent,1.6
rake:fork,48.5
acceleration:speed,68
dim:light,48
lower:volume,45.1
darken:color,44
raise:salary,30
flood:water,26
inflation:price,26
terror:fear,18
shorten:distance,18
speed:movement,18
soften:voice,14
heat:temperature,14
force:pressure,9.8
death:population,8
rise:tide,6
discount:price,68
hot:cold,54.5
big:small,44.8
dark:light,37.5
accept:reject,33.3
black:white,32.8
fast:slow,29.3
tall:short,26.7
good:bad,25.4
difficult:easy,25
rich:poor,21.4
fat:thin,16.9
pretty:ugly,13.3
dirty:clean,10.9
bright:dark,0
warm:cool,-5.7
old:young,54.5
forward:backward,62.1
top:bottom,57.9
north:south,56.4
up:down,53.4
start:finish,37.9
in:out,37.9
high:low,28.3
below:above,27.3
ahead:behind,20.3
under:over,17.5
rise:sink,7.1
interior:exterior,5.3
climb:descend,-6.8
front:back,62.1
left:right,62.1
east:west,62.1
day:evening,34
good:wrong,32
low:up,30
enthusiastic:lazy,26
majority:small,26
high:down,20
smiling:sad,18
witty:dumb,18
just:unfair,17.6
powerful:meek,16
funny:serious,10
fun:boring,10
bright:dull,8
loud:discreet,6
obey:protest,5.9
right:bad,34
loss:grief,56
injury:pain,48
disease:sickness,44
explosion:damage,42
accident:damage,41.2
germs:sickness,34.5
bath:cleanliness,30
exercise:fitness,26
tragedy:tears,22
fire:burns,20
repetition:boredom,18
stimulus:response,16
workout:sweat,14
illness:discomfort,12
heater:warmth,12
joke:laughter,56
thirst:drink,90
tiredness:rest,60
happiness:smile,56
thirsty:drink,54
sadness:cry,49
heat:sweat,38
coldness:shiver,38
danger:flee,38
fright:scream,31.4
dirtiness:bathe,28
anger:yell,26
sickness:medicate,24
loneliness:socialize,19.2
nervousness:sweat,12
dirty:bathe,5.9
hunger:eat,90
breathe:live,58
study:learn,50
drink:hydrate,44
wash:clean,33.3
work:earn,28
sleep:rest,26
bathe:clean,26
exercise:healthy,25.5
trim:shorten,22
ignite:burn,20
read:learn,20
cook:eat,18
advertise:promote,15.7
burnish:shine,14
speak:express,12.7
flee:escape,58
