ABStart,ABDur,CDStart,CDDur,QStart,QDur,TrialTag,Match,QResponse,QCorrResponse
3.0148,2.0115,5.9516,2.0093,8.8007,0.6966,raise:salary::shorten:distance,1,['l'],l
10.0152,2.0113,13.4023,2.0080,16.1628,0.7977,ignite:burn::speed:movement,0,['a'],a
17.4719,2.0050,20.1261,2.0091,22.8169,0.8717,accept:reject::lower:volume,0,['l'],l
24.1989,2.0041,27.2358,2.0077,30.1797,0.9809,day:evening::speak:express,0,['a'],a
31.6790,2.0114,34.5168,2.0082,37.0672,0.6856,interior:exterior::below:above,1,['l'],l
38.2654,2.0106,40.9848,2.0101,44.4873,0.6097,boat:ship::big:large,1,['a'],a
45.6175,2.0100,48.1525,2.0092,51.0991,0.9031,loss:grief::fire:burns,1,['a'],a
52.5163,2.0118,55.8740,2.0034,58.4621,0.6271,trim:shorten::study:learn,1,['a'],a
59.6001,2.0041,63.9113,2.0111,66.5168,0.7567,death:population::start:finish,0,['l'],l
67.7839,2.0077,70.3992,2.0101,73.3948,0.6389,dirtiness:bathe::front:back,0,['l'],l
74.5493,2.0121,77.1442,2.0174,80.1119,1.2577,darken:color::soften:voice,1,['a'],a
81.8842,2.0105,84.4181,2.0105,86.9570,0.9729,run:sprint::under:over,0,['l'],a
88.4394,2.0056,91.0474,2.0054,93.7913,0.5949,good:bad::tall:short,1,['a'],a
94.8999,2.0054,97.6168,2.0066,100.2784,0.6679,dim:light::joke:laughter,0,['l'],l
101.4618,2.0131,105.1405,2.0056,108.5607,0.8578,loud:discreet::majority:small,1,['l'],l
109.9345,2.0115,114.0997,2.0125,116.7031,0.5473,wash:clean::cook:eat,1,['a'],a
117.7681,2.0108,120.5804,2.0043,123.3361,1.4909,thirsty:drink::anger:yell,1,['a'],l
125.3429,2.0105,128.6953,2.0103,131.6330,1.0502,pretty:beautiful::teach:instruct,1,['l'],l
133.1949,2.0125,136.4182,2.0076,139.0843,0.7589,low:up::funny:serious,1,['a'],l
140.3661,2.0110,142.9848,2.0114,146.0184,1.0573,disease:sickness::flood:water,0,['l'],a
